tegenkomen	to encounter
berekening	calculation
continu	continuous
monster	a) monster b) sample
paspoort	passport
tunnel	tunnel
tweetal	two
lekken	to leak
onbegrijpelijk	incomprehensible
onderwerpen	to subject
pakweg	roughly
subtiel	subtle
triest	sad
verzoeken	to request
waardig	worthy
Bijbel	bible
bijwonen	to attend
geldig	valid
meevallen	to turn out not too bad
pond	pound
sloot	ditch
verwaarlozen	to neglect
aanvang	commencement
cliché	cliché
ophangen	to hang
orgaan	organ
rechtvaardigen	to justify
tropisch	tropical
bon	a) coupon b) ticket
citaat	quote
comfortabel	comfortable
continent	continent
formaat	format
identificeren	to identify
indertijd	at the time
kunstmatig	artificial
landgenoot	countryman
taboe	taboo
theoretisch	theoretical
verhuren	to let
welvaart	prosperity
willekeurig	arbitrary
herhaaldelijk	repeatedly
pensioneren	to retire
wederzijds	mutual
wegnemen	to take away
academie	academy
gehandicapt	handicapped
hekel	dislike
ietwat	somewhat
ongewenst	unwanted, undesirable
overhouden	to have left
pastoor	pastor
schriftelijk	written
teleurstelling	disappointment
agressie	aggression
andersom	vice versa
opblazen	to blow
platteland	countryside
rot	a) rotten b) rotten, awful
universitair	university
verwelkomen	to welcome
wraak	revenge
aankunnen	to manage
aap	monkey
actualiteit	current event
beleggen	a) to convene b) to invest
besmetten	to infect
bevelen	to order, to command
bewonen	to live in, to inhabit
cool	cool
diplomatiek	diplomatic
geregeld	regularly
huur	rent
sympathiek	sympathetic
toneelstuk	play
trakteren	to treat
variatie	variation
wc	toilet
wederom	again
werkdag	working day
afgaan	a) to fail b) to go off
gehoor	hearing
invallen	to stand in
mits	provided that
tijdperk	era
T-shirt	T-shirt
allesbehalve	anything but
consequent	consistent
politieman	policeman
software	software
uitsterven	to die (out)
allerhande	all kinds of
bevriezen	to freeze
fragment	fragment
sympathie	sympathy
vooroordeel	prejudice
begeleider	supervisor
hogeschool	college
integraal	integral
lof	praise
opbouw	construction
oversteken	to cross
problematiek	problems
uitvoerig	detailed
verkoper	seller
waartoe	to which
aanmoedigen	to encourage
achterin	in the back
bestand	a) file b) truce
ongeacht	regardless
ontlenen	to derive
overstappen	to change over
vijver	pond
voorval	incident
weduwe	widow
wegleggen	to put away
aanrichten	to cause
bijstaan	to assist
overwinnen	to overcome
schijf	a) slice b) disk
vorst	1) monarch 2) frost
bevestiging	confirmation
fatsoenlijk	decent
geruim	considerable
kledij	clothing
planten	to plant
proper	tidy, clean
restaureren	to restore
zelfvertrouwen	self-confidence
